gene,subtype,n_total,n_mutated,n_events,mort_mutated_pct,mort_wt_pct,odds_ratio,p_fisher,hr,hr_lower,hr_upper,p_cox,p_logrank,significant
KMT2C,Luminal_A,742,74,99,21.62162162162162,12.425149700598801,1.9443290402991276,0.04511265199609804,1.6504955920205353,0.9609766741177032,2.834757359516884,0.0694076046326395,0.02738191832722789,False
KMT2C,Luminal_B,145,7,16,0.0,11.594202898550725,0.0,1.0,9.520377166103912e-08,0.0,inf,0.9958954342665447,0.341187128887844,False
